,Director,Director Counts
841,Michael Lehmann,9
842,Steve Beck,2
843,Wayne Wang,8
844,Luis Mandoki,5
845,Marc Lawrence,3
846,Jon Amiel,6
847,Peter Howitt,4
848,"Aaron Blaise, Robert Walker",1
849,"Stephen Hillenburg, Mark Osborne",1
850,Darren Grant,2
851,John Maybury,3
852,Elizabeth Allen Rosenbaum,3
853,James Gartner,1
854,Bill Condon,7
855,Joby Harold,1
856,Robert Ben Garant,2
857,Scott Wiper,1
858,Lajos Koltai,1
859,Martin Weisz,1
860,Scott Frank,1
861,Steve Bendelack,1
862,Mennan Yapo,1
863,Jon Poll,1
864,Ed Harris,2
865,Robert B. Weide,3
866,Tony Leondis,1
867,Carter Smith,1
868,Gina Prince-Bythewood,2
869,"Sam Fell, Robert Stevenhagen",1
870,Jody Hill,2
871,Steve Shill,1
872,Steve Carr,5
873,Scott Cooper,1
874,Michael Lembeck,5
875,Sngmoo Lee,1
876,"Stephen J. Anderson, Don Hall",1
877,"Chris Kentis, Laura Lau",1
878,Alex Kendrick,4
879,Daniel Barnz,3
880,Jeff Renfroe,1
881,Eduardo Rodriguez,2
882,Kimble Rendall,1
883,Perry Bhandal,1
884,David Weaver,1
885,Keoni Waxman,2
886,Aaron Harvey,1
887,Bruce Beresford,18
888,Kenneth Lonergan,2
889,Mike Gunther,1
890,Oren Moverman,2
891,Michael Knowles,1
892,Jon Hewitt,1
893,Douglas Aarniokoski,2
894,Whit Stillman,3
895,Adam Green,3
896,Massy Tadjedin,1
897,James Keach,1
898,Emilio Estevez,5
899,Sebastian Gutierrez,3
900,David Michôd,1
901,John Stalberg Jr.,1
902,William Monahan,2
903,Stuart Hazeldine,1
904,Ben Ramsey,1
905,Betty Thomas,7
906,Rick Jacobson,1
907,Scott Mann,1
908,Scott Sanders,2
909,Gregg Araki,4
910,Gregory Wilson,1
911,David Ross,1
912,Mark Mylod,3
913,Desmond Davis,2
914,Ryan Gosling,1
915,Tobe Hooper,10
916,Just Jaeckin,3
917,Sean S. Cunningham,4
918,"Lou Adler, Tommy Chong",1
919,"Jim Henson, Frank Oz",1
920,Richard Lester,11
921,Savage Steve Holland,2
922,Michael Schultz,9
923,Tom Holland,5
924,Don Bluth,3
925,Mary Lambert,5
926,Harry Hook,1
927,Alan J. Pakula,11
928,Jack Bender,2
929,Bernard Rose,5
930,"Annabel Jankel, Rocky Morton",2
931,Steven E. de Souza,1
932,Andrew Fleming,7
933,James Foley,10
934,Luis Llosa,4
935,Robert Townsend,4
936,John R. Leonetti,2
937,David Mirkin,2
938,"Bibo Bergeron, Don Paul, Jeffrey Katzenberg",1
939,Roger Spottiswoode,11
940,"Eric Leighton, Ralph Zondag",1
941,Robert Altman,19
942,Callie Khouri,2
943,Marcus Raboy,1
944,Ed Decter,1
945,David McNally,2
946,Kevin Costner,3
947,Carl Franklin,5
948,Pitof,2
949,Tommy O'Haver,3
950,Sean McNamara,6
951,Don Mancini,1
952,John Polson,2
953,Florent-Emilio Siri,1
954,Clare Kilner,3
955,Susan Stroman,1
956,"Steve Box, Nick Park",1
957,Richard Loncraine,8
958,Phil Joanou,4
959,Tony Goldwyn,4
960,Jessica Bendinger,1
961,Pedro Almodóvar,1
962,Richard Eyre,5
963,"Oliver Hirschbiegel, James McTeigue",1
964,Kevin Munroe,2
965,"David Moreau, Xavier Palud",1
966,Jeff Lowell,1
967,Mark Palansky,1
968,Christine Jeffs,2
969,Michael McCullers,1
970,"Danny Pang, Oxide Chun Pang",2
971,Marcel Langenegger,1
972,Gavin O'Connor,6
973,Craig Mazin,2
974,Diane English,1
975,Susanna White,3
976,Douglas McGrath,4
977,Todd Graff,3
978,"Gregg Godfrey, Jeremy Rawle",1
979,Scott Walker,1
980,Brad Furman,3
981,Kieran Darcy-Smith,1
982,Plan B,1
983,David Brooks,1
984,Craig Viveiros,1
985,"Phil Dorling, Ron Nyswaner",1
986,Gabe Torres,1
987,Johannes Roberts,1
988,Jeremy Power Regimbal,1
989,Michael Jai White,1
990,Don Handfield,1
991,Joseph Kahn,2
992,Dexter Fletcher,1
993,Elgin James,1
994,Michael Pavone,2
995,Benedek Fliegauf,1
996,Isaac Florentine,4
997,"Ben Stassen, Mimi Maynard",2
998,Kyle Newman,1
999,Agnieszka Wojtowicz-Vosloo,1
1000,"David Pastor, Àlex Pastor",1
1001,Max Mayer,1
1002,Corey Yuen,2
1003,Nick Hurran,3
1004,John Cameron Mitchell,3
1005,Neil Armfield,1
1006,Rob Schneider,1
1007,Michael Dougherty,3
1008,Ryûhei Kitamura,2
1009,Barbara Kopple,1
1010,Tony Giglio,1
1011,Greg Marcks,2
1012,Keith Gordon,5
1013,Hal Needham,9
1014,Ruggero Deodato,2
1015,Billy Wilder,3
1016,"John Lounsbery, Wolfgang Reitherman, Art Stevens",1
1017,Blake Edwards,18
1018,Carl Reiner,9
1019,Ken Finkleman,2
1020,Peter Hyams,15
1021,Richard Fleischer,11
1022,"Jim Abrahams, David Zucker, Jerry Zucker",3
1023,"George Miller, George Ogilvie",1
1024,"Ron Clements, Burny Mattinson, David Michener, John Musker",1
1025,David Anspaugh,6
1026,George Scribner,1
1027,Ate de Jong,2
1028,Michael Pressman,5
1029,Charles Shyer,7
1030,Thom Eberhardt,6
1031,Bill Kroyer,1
1032,Emile Ardolino,5
1033,Simon Wincer,8
1034,Bill Duke,3
1035,John Pasquin,4
1036,Tim Robbins,3
1037,Gregory Widen,1
1038,Beeban Kidron,3
1039,Ted Demme,6
1040,Jason Bloom,2
1041,George Armitage,3
1042,Kinka Usher,1
1043,"Hironobu Sakaguchi, Motonori Sakakibara(co-director)",1
1044,Gregory Poirier,1
1045,Jeff Tremaine,1
1046,Michael Rymer,2
1047,Yimou Zhang,4
1048,Chris Stokes,1
1049,Hideo Nakata,2
1050,Greg McLean,2
1051,Bruce Hunt,1
1052,Gary David Goldberg,2
1053,Niki Caro,2
1054,Barry W. Blaustein,2
1055,Chris Robinson,1
1056,Frank Marshall,4
1057,Michael Polish,3
1058,Chris Sivertson,1
1059,Jonathan Kasdan,2
1060,"Shari Springer Berman, Robert Pulcini",3
1061,Marco Schnabel,1
1062,George C. Wolfe,2
1063,Malcolm D. Lee,6
1064,Chris Carter,1
1065,Aristomenis Tsirbas,1
1066,"Zach Cregger, Trevor Moore",1
1067,Vicky Jenson,1
1068,Stewart Hendler,2
1069,Nelson McCormick,2
1070,"Anthony Bell, Ben Gluck",1
1071,Tom Dey,4
1072,Mike Disa,1
1073,Roman Coppola,2
1074,Maxim Korostyshevsky,1
1075,Shinji Aramaki,1
1076,Daryl Wein,1
1077,George Gallo,5
1078,Jon Wright,2
1079,Patricia Riggen,3
1080,Antonio Negret,2
1081,Mike Flanagan,3
1082,Michael Winnick,1
1083,"Andrew Erwin, Jon Erwin",1
1084,Jason Eisener,1
1085,Julian Gilbey,2
1086,Matthew Chapman,1
1087,William Kaufman,3
1088,Rodrigo García,7
1089,Michael Goldbach,1
1090,Robert Lieberman,5
1091,Derrick Borte,1
1092,Tim Blake Nelson,3
1093,Ol Parker,2
1094,John Crowley,4
1095,Charlie Kaufman,1
1096,"Chuck Konzelman, Cary Solomon",1
1097,Jeff Fisher,1
1098,Eric Amadio,1
1099,Simon Brand,2
1100,Jay Lee,1
1101,Shane Abbess,1
1102,"Marcel Sarmiento, Gadi Harel(co-director)",1
1103,Tom Putnam,1
1104,"Larry Clark, Edward Lachman",1
1105,James Ivory,13
1106,Ramón Menéndez,2
1107,Clenet Verdi-Rose,1
1108,Alejandro Jodorowsky,2
1109,Harold Becker,9
1110,Robert Benton,9
1111,Willard Huyck,2
1112,Michael Gottlieb,3
1113,Gary Goddard,1
1114,Sidney J. Furie,9
1115,Buddy Van Horn,3
1116,"Hendel Butoy, Mike Gabriel",1
1117,Jeff Pollack,2
1118,Sam Weisman,6
1119,Kevin Lima,3
1120,Robert Longo,1
1121,Lesli Linka Glatter,2
1122,Rachel Talalay,3
1123,Ernest R. Dickerson,7
1124,Stanley Tong,4
1125,Mel Smith,4
1126,Stuart Baird,3
1127,Michael Patrick Jann,2
1128,Roger Christian,2
1129,Matt Williams,1
1130,Gil Junger,5
1131,Irwin Winkler,7
1132,Bill Paxton,2
1133,Roger Michell,8
1134,Barbet Schroeder,9
1135,"Kelly Asbury, Lorna Cook",1
1136,Kevin Donovan,1
1137,Gary Hardwick,2
1138,Bille Woodruff,3
1139,Vadim Perelman,1
1140,Guy Ferland,3
1141,Joseph Ruben,9
1142,Peter Hewitt,9
1143,Kerry Conran,1
1144,Greg Coolidge,1
1145,Liz Friedlander,1
1146,"Anthony Russo, Joe Russo",4
1147,Michael O. Sajbel,2
1148,Glen Morgan,2
1149,Doug Lefler,1
1150,Eric Valette,1
1151,Deb Hagan,1
1152,David Mamet,8
1153,Masayuki Ochiai,1
1154,John Schultz,5
1155,Quentin Dupieux,2
1156,"Will Finn, Daniel St. Pierre",1
1157,Rufus Norris,1
1158,Ry Russo-Young,1
1159,Luis Prieto,2
1160,Hany Abu-Assad,2
1161,Brandon Nutt,1
1162,Charles Matthau,1
1163,Kat Coiro,1
1164,"Adam Kassen, Mark Kassen",1
1165,Justin Kurzel,3
1166,Dermot Mulroney,1
1167,Carlo Ledesma,1
1168,Michael Goi,1
1169,Brian Crano,1
1170,Julien Magnat,1
1171,Taylor Sheridan,1
1172,Jacob Estes,2
1173,Eduardo Sánchez,2
1174,Noah Baumbach,4
1175,Guy Moshe,1
1176,Nick Tomnay,1
1177,Julie Taymor,5
1178,Bo Zenga,1
1179,Raymond De Felitta,1
1180,Jeff King,1
1181,Klay Hall,1
1182,J Blakeson,2
1183,Goran Dukic,1
1184,David Leland,2
1185,Martin Gero,1
1186,Gilles Bourdos,1
1187,"Matthew O'Callaghan, Todd Wilderman(co-director)",1
1188,Marcos Siega,3
1189,Steven Schachter,3
1190,Victor Salva,5
1191,Dave McKean,1
1192,Richard Shepard,4
1193,Kaige Chen,2
1194,Henry Bean,1
1195,James Cox,2
1196,Todd Solondz,3
1197,Stephan Elliott,4
1198,Sarah Kernochan,1
1199,Trey Parker,4
1200,Peter Greenaway,11
1201,Philip Kaufman,10
1202,Wim Wenders,6
1203,Andrzej Zulawski,1
1204,Meir Zarchi,1
1205,Stuart Millar,1
1206,Don Chaffey,2
1207,Jeannot Szwarc,6
1208,Hal Ashby,7
1209,Neal Israel,4
1210,"Ted Berman, Richard Rich",1
1211,Dan O'Bannon,2
1212,Walter Murch,1
1213,Rod Daniel,5
1214,Richard Benjamin,11
1215,Steve Rash,7
1216,William Dear,4
1217,Marek Kanievska,3
1218,Arthur Hiller,13
1219,"Andrey Konchalovskiy, Albert Magnoli",1
1220,Warren Beatty,3
1221,Dwight H. Little,6
1222,Nicolas Roeg,7
1223,Reginald Hudlin,4
1224,Fran Rubel Kuzui,1
1225,Les Mayfield,7
1226,Stephen Surjik,4
1227,Kenneth Branagh,11
1228,Gillian Armstrong,7
1229,Bryan Spicer,3
1230,Geoff Murphy,8
1231,Andrew Bergman,4
1232,Jamie Blanks,3
1233,William Malone,3
1234,"Brendan Malloy, Emmett Malloy",2
1235,Paul Hunter,1
1236,Charles Herman-Wurmfeld,3
1237,Jim Fall,2
1238,Mira Nair,9
1239,Jean-François Richet,2
1240,Kevin Rodney Sullivan,4
1241,Mike Bigelow,1
1242,Rupert Wainwright,3
1243,Laurence Dunmore,1
1244,Mark Rosman,3
1245,John A. Davis,2
1246,Matthew O'Callaghan,1
1247,Prachya Pinkaew,3
1248,Mort Nathan,2
1249,Dave Meyers,1
1250,Zach Helm,1
1251,Kirk DeMicco,1
1252,Michael Moore,4
1253,Erik White,1
1254,"Dan Cutforth, Jane Lipsitz",1
1255,Sid Bennett,1
1256,Lawrence Roeck,1
1257,"Mike Birbiglia, Seth Barrish(co-director)",1
1258,"Max Giwa, Dania Pasquini",2
1259,Dylan C. Brown,1
1260,Antti Jokinen,1
1261,Lucky McKee,3
1262,Andrew Haigh,1
1263,Matthew Parkhill,2
1264,Adrian Vitoria,2
1265,Martin Guigui,1
1266,Kriv Stenders,1
1267,Lena Dunham,1
1268,Carl Bessai,1
1269,Richard J. Lewis,1
1270,Matthew Leutwyler,2
1271,"Jay Duplass, Mark Duplass",2
1272,Anthony DiBlasi,1
1273,Don Roos,4
1274,D. Kerry Prior,1
1275,Alexis Dos Santos,1
1276,"Kieran Mulroney, Michele Mulroney",1
1277,Jordan Scott,1
1278,Aaron Schneider,1
1279,Tyler Oliver,1
1280,Peter Stebbings,1
1281,Andrew Currie,1
1282,Kar-Wai Wong,3
1283,Hunter Richards,1
1284,David Mackay,1
1285,Liev Schreiber,1
1286,Randall Miller,6
1287,Marc Schölermann,1
1288,Geoffrey Sax,3
1289,Joshua Seftel,1
1290,Clark Gregg,1
1291,Bruce McDonald,3
1292,Shamim Sarif,2
1293,"Adam Jay Epstein, Andrew Jacobson",1
1294,François Velle,1
1295,Jada Pinkett Smith,1
1296,Nick Hamm,4
1297,François Ozon,2
1298,Giuseppe Tornatore,2
1299,Edward Burns,4
1300,Geoffrey Wright,3
1301,Mike Leigh,9
1302,"Terry Jones, Terry Gilliam",1
1303,Jamie Uys,1
1304,Vic Armstrong,2
1305,N/A,110
1306,Peter Bogdanovich,11
1307,Joseph L. Mankiewicz,1
1308,Dario Argento,6
1309,James Frawley,4
1310,Lewis Teague,7
1311,Jack Sholder,5
1312,Menahem Golan,3
1313,Nelson Shin,1
1314,"Mark DiSalle, David Worth",1
1315,John Lafia,2
1316,Sheldon Lettich,4
1317,Dan Aykroyd,1
1318,Stuart Gordon,10
1319,Jerry Zucker,3
1320,Brett Leonard,6
1321,Jerry Zaks,1
1322,Stephen Kessler,1
1323,Rand Ravich,1
1324,Jonathan Kaplan,9
1325,Rodman Flender,2
1326,"Kunihiko Yuyama, Michael Haigney",2
1327,Bonnie Hunt,1
1328,Courtney Solomon,2
1329,"Chia-Liang Liu, Jackie Chan",1
1330,Luke Greenfield,3
1331,Chris Nahon,2
1332,Mark Romanek,2
1333,Bob Dolman,2
1334,John Lee Hancock,3
1335,"Patrick Gilmore, Tim Johnson",1
1336,Boaz Yakin,4
1337,Michael Tollin,2
1338,"Will Finn, John Sanford",1
1339,Nora Ephron,7
1340,Angela Robinson,2
1341,Gary Chapman,1
1342,"Aaron Seltzer, Jason Friedberg(co-director)",1
1343,William Brent Bell,2
1344,Adrienne Shelly,1
1345,"Alastair Fothergill, Mark Linfield",2
1346,Francesca Gregorini,1
1347,Peter Strickland,1
1348,Adam Deyoe,1
1349,Todd Louiso,1
1350,Ron Scalpello,1
1351,Sam Levinson,1
1352,Aimee Lagos,1
1353,Sheree Folkson,2
1354,John Pogue,1
1355,Abel Ferrara,8
1356,Michael Corrente,4
1357,Howie Askins,1
1358,Rob Hedden,2
1359,Sam Jaeger,1
1360,"Noel Clarke, Mark Davis",1
1361,Joseph Guzman,1
1362,Michael Greenspan,1
1363,James Nguyen,1
1364,Mitch Glazer,1
1365,Giorgio Serafini,1
1366,Marcos Efron,1
1367,Nick Morris,2
1368,Cody Cameron,1
1369,Chris Fisher,2
1370,Rebecca Miller,2
1371,Phil Claydon,1
1372,Jake West,1
1373,Bob Gosse,1
1374,Nancy Bardawil,1
1375,Anthony Waller,2
1376,Isabel Coixet,3
1377,Michael Ian Black,1
1378,Tom Kalin,1
1379,Jonathan King,1
1380,Jessica Sharzer,1
1381,Toby Wilkins,2
1382,Makoto Kamiya,1
1383,Edward Neumeier,1
1384,Jay Lowi,2
1385,John August,1
1386,Takashi Miike,3
1387,Lori Petty,1
1388,Brett Simon,1
1389,Bharat Nalluri,2
1390,James Merendino,1
1391,Bernardo Bertolucci,7
1392,Willard Carroll,1
1393,Rob Sitch,2
1394,Todd Haynes,6
1395,Katt Shea,1
1396,Robert Mulligan,4
1397,Rick Rosenthal,5
1398,Brendan Moriarty,2
1399,William H. Macy,1
1400,Robert Aldrich,6
1401,H.B. Halicki,1
1402,Ted Post,5
1403,Michael Crichton,6
1404,Steve Miner,13
1405,Mark Rydell,7
1406,Gary Nelson,3
1407,Franc Roddam,4
1408,Richard Franklin,4
1409,Michael Ritchie,15
1410,"Jerry Paris, James Signorelli",1
1411,David Seltzer,2
1412,Norman Jewison,14
1413,John Flynn,5
1414,Danny DeVito,6
1415,Todd Holland,3
1416,William A. Graham,4
1417,Brian Henson,1
1418,Stuart Gillard,3
1419,Fred Dekker,3
1420,Richard Rush,3
1421,David S. Ward,6
1422,Jeremy Leven,1
1423,Alfonso Arau,2
1424,Rick Friedberg,1
1425,Ice Cube,1
1426,Adam Rifkin,2
1427,Darren Stein,1
1428,Stephen Kay,5
1429,John Herzfeld,5
1430,Tom Green,2
1431,Daniel Sackheim,1
1432,Charles Stone III,4
1433,"Brian Koppelman, David Levien",2
1434,Perry Andelin Blake,1
1435,Tim Fywell,3
1436,Lawrence Guterman,2
1437,Jim Sonzero,1
1438,Robin Swicord,1
1439,Robert Shaye,1
1440,Andy Cheng,2
1441,David L. Cunningham,2
1442,Fred Wolf,3
1443,Rick Famuyiwa,2
1444,"Huck Botko, Andrew Gurland",1
1445,Steve Barker,2
1446,Christopher Neil,1
1447,Kevin Carraway,1
1448,Jordan Roberts,1
1449,David Ren,1
1450,Pat Holden,2
1451,Claudio Fäh,1
1452,Brian A. Miller,1
1453,Joel Soisson,1
1454,Terry Miles,1
1455,Mateo Gil,1
1456,Andrew Traucki,1
1457,Shawn Ku,1
1458,Chris Shadley,1
1459,Fouad Mikati,1
1460,Tony Krantz,2
1461,"Ricky Gervais, Stephen Merchant",1
1462,Sylvain Chomet,1
1463,"Scott McGehee, David Siegel",2
1464,Emily Young,1
1465,Gareth Carrivick,1
1466,Seth Grossman,1
1467,Michael Radford,6
1468,Griffin Dunne,3
1469,Jieho Lee,1
1470,Niall Johnson,1
1471,Jonah Markowitz,1
1472,Julian Jarrold,7
1473,Simon Hunter,1
1474,Tamara Jenkins,2
1475,Rowan Woods,1
1476,Michael McGowan,1
1477,"Joachim Rønning, Espen Sandberg",3
1478,Gurinder Chadha,4
1479,Barry Skolnick,1
1480,Siu-Tung Ching,1
1481,Vincent Gallo,2
1482,"James Algar, Gaëtan Brizzi, Paul Brizzi, Hendel Butoy, Francis Glebas, Eric Goldberg, Don Hahn, Pixote Hunt",1
1483,Patricia Rozema,3
1484,John Fawcett,2
1485,Justin Kerrigan,1
1486,"Peter Chung, Andrew R. Jones, Yoshiaki Kawajiri, Takeshi Koike, Mahiro Maeda, Kôji Morimoto, Shin'ichirô Watanabe",1
1487,Susan Streitfeld,1
1488,Albert Pyun,8
1489,Mark Goldblatt,2
1490,Don Taylor,3
1491,"Gerald Potterton, John Bruno, John Halas, Julian Harris, Jimmy T. Murakami, Barrie Nelson, Paul Sabella, Jack Stokes, Pino Van Lamsweerde, Harold Whitaker",1
1492,Steven Knight,1
1493,John Carl Buechler,3
1494,Ronald Neame,3
1495,John Guillermin,6
1496,John Sturges,2
1497,James Fargo,2
1498,Ralph Bakshi,5
1499,Peter Yates,11
1500,"Jules Bass, Arthur Rankin Jr.",8
1501,"Joe Dante, John Landis, George Miller, Steven Spielberg",1
1502,Alan Metter,5
1503,Stephen King,1
1504,J. Lee Thompson,12
1505,Joseph Sargent,14
1506,Dennis Hopper,4
1507,John Cornell,2
1508,Craig R. Baxley,5
1509,Franco Zeffirelli,6
1510,Bruce Malmuth,2
1511,Tom Savini,1
1512,Patrick Read Johnson,3
1513,Robert Duvall,1
1514,Hark Tsui,2
1515,David Kellogg,2
1516,Antonia Bird,6
1517,Robert Iscove,5
1518,Joe Roth,5
1519,Blair Hayes,1
1520,Shekhar Kapur,3
1521,Don Michael Paul,1
1522,"Robin Budd, Donovan Cook(co-director)",1
1523,Casey La Scala,1
1524,Luc Jacquet,1
1525,Duncan Tucker,1
1526,Doug Atchison,1
1527,Nicole Holofcener,2
1528,Vondie Curtis-Hall,4
1529,Roland Joffé,9
1530,Hyung-rae Shim,1
1531,Chris Rock,2
1532,Frederik Du Chau,3
1533,Damien Dante Wayans,1
1534,Jonas Elmer,1
1535,Jerusha Hess,1
1536,Dominic Burns,1
1537,Carl Tibbetts,1
1538,Stevan Mena,2
1539,Scott Culver,1
1540,Martyn Pick,1
1541,Steven Silver,1
1542,Luiso Berdejo,1
1543,Jamin Winans,1
1544,Julio DePietro,1
1545,Mark A. Lewis,1
1546,Lara Shapiro,1
1547,Jac Schaeffer,1
1548,Kevin Heffernan,1
1549,"Lisa Barros D'Sa, Glenn Leyburn",2
1550,Oliver Hirschbiegel,2
1551,Terry George,3
1552,Omar Naim,1
1553,Christopher Duddy,1
1554,Yann Samuell,1
1555,Sarah Polley,3
1556,Jamie Babbit,3
1557,"Tom Kuntz, Mike Maguire",1
1558,Todd Stephens,2
1559,Dennis Lee,1
1560,Marco Kreuzpaintner,1
1561,Pawel Pawlikowski,2
1562,Ryan Murphy,2
1563,Nick Guthe,1
1564,Brian Pimental,1
1565,Jan Kounen,1
1566,Sturla Gunnarsson,2
1567,Larry Bishop,2
1568,Jean-Baptiste Andrea,1
1569,Stuart Townsend,1
1570,Andrzej Sekula,1
1571,Léa Pool,1
1572,Chris Eyre,1
1573,Julianna Lavin,1
1574,"Benny Chan, Jackie Chan",1
1575,Louis Malle,5
1576,Baz Luhrmann,5
1577,Jerry Rees,2
1578,Robert Greenwald,5
1579,Peter Medak,6
1580,Ken Russell,8
1581,Enzo G. Castellari,3
1582,"Michael French, Scott Miller",1
1583,Sam Walker,1
1584,Fred Zinnemann,2
1585,"Wei Lo, Chia-Hsiang Wu",1
1586,L.Q. Jones,1
1587,Michael Winner,10
1588,John Boorman,9
1589,Federico Fellini,2
1590,Alfred Hitchcock,1
1591,Martin Rosen,2
1592,Stuart Rosenberg,7
1593,Paul Schrader,10
1594,Robert J. Rosenthal,1
1595,Joe Alves,1
1596,Albert Magnoli,2
1597,Lisa Gottlieb,1
1598,Matthew Robbins,5
1599,Jim Drake,2
1600,Greg Beeman,4
1601,Robert Towne,3
1602,Daniel Petrie Jr.,2
1603,Kevin Hooks,5
1604,Uli Edel,6
1605,Gene Quintano,1
1606,Andrew Scheinman,1
1607,"Pixote Hunt, Joe Johnston",1
1608,Arne Glimcher,2
1609,Marc Rocco,3
1610,David Hogan,2
1611,"John Frankenheimer, Richard Stanley",1
1612,Kasi Lemmons,3
1613,Glenn Gordon Caron,3
1614,Kirk Wong,1
1615,Daisy von Scherler Mayer,4
1616,Steven Zaillian,3
1617,Troy Miller,7
1618,Edward Norton,1
1619,Jun Falkenstein,1
1620,David Raynr,2
1621,Christian Duguay,7
1622,Demian Lichtenstein,1
1623,Sean Penn,5
1624,Ellory Elkayem,1
1625,Gordon Chan,3
1626,Bruno Barreto,2
1627,Jaume Balagueró,2
1628,Christopher Erskin,1
1629,Paul Abascal,1
1630,Michael Mayer,2
1631,Bob Odenkirk,2
1632,Katja von Garnier,2
1633,Menno Meyjes,3
1634,Joshua Michael Stern,3
1635,Karey Kirkpatrick,1
1636,Phil Morrison,2
1637,"Michael Hoffman Jr.(co-director), Aaron T. Wells(co-director)",1
1638,"Bob Badway, Michael Emanuel, Igor Meglic",1
1639,"Howard J. Ford, Jonathan Ford(co-director)",1
1640,Joey Stewart,1
1641,Trent Cooper,2
1642,Kelly Reichardt,2
1643,Fernanda Cardoso,1
1644,Stephen Milburn Anderson,2
1645,Danis Tanovic,2
1646,Nathan Hope,1
1647,David M. Rosenthal,1
1648,Dana Lustig,1
1649,Lukas Moodysson,1
1650,S.R. Bindler,1
1651,"William Heins, Strathford Hamilton",1
1652,John Glenn,1
1653,Julie Delpy,3
1654,John Duigan,9
1655,Menhaj Huda,2
1656,Michael Dowse,4
1657,Talia Lugacy,1
1658,John Jeffcoat,1
1659,Tommy Lee Jones,2
1660,Kari Skogland,5
1661,Nicholas Hytner,4
1662,David Kendall,1
1663,Nicholas Mastandrea,1
1664,Miranda July,1
1665,David J. Burke,1
1666,Stewart Raffill,7
1667,Susan Montford,1
1668,Antonio Campos,1
1669,Eric Red,3
1670,Jason Freeland,1
1671,Courtney Hunt,1
1672,Daniel Waters,1
1673,Jeffrey Blitz,1
1674,David Von Ancken,1
1675,David Duchovny,1
1676,Steve Trenbirth,1
1677,E. Elias Merhige,1
1678,Matthew Ryan Hoge,1
1679,Lisa Krueger,2
1680,Emir Kusturica,1
1681,Bille August,4
1682,Dorian Walker,2
1683,Zalman King,3
1684,W.D. Richter,2
1685,Bob Rafelson,7
1686,Robert Hiltzik,1
1687,"Robert Clouse, Bruce Lee",1
1688,Rowan Joffe,3
1689,John Hough,5
1690,John Cassavetes,5
1691,Torgny Wickman,1
1692,Robert Moore,2
1693,Sam Peckinpah,6
1694,Tommy Chong,4
1695,Bob Fosse,3
1696,Michael Chapman,2
1697,Mark L. Lester,8
1698,Mel Damski,3
1699,Jerry Paris,1
1700,John Irvin,7
1701,Bob Hathcock,1
1702,Allan Moyle,3
