,Production,Production Counts
753,Cinema Seven Productions Ltd,1
754,Cheezy Flicks Entertainment,4
755,Capital Films,1
756,Doty-Dayton Productions,1
757,Allied Artists Pictures,1
758,New Concorde Home Entertainment,5
759,Roas Produzioni,1
760,RM International,1
761,Jadran Film,1
762,A-Pix,2
763,Legacy Releasing,1
764,Corra Films,1
765,Full Circle Releasing,1
766,FilmBuff,2
767,Keystone Entertainment,2
768,Brainstorm Media,1
769,MGM Distribution Co,1
770,Spartan Home Entertainment,1
771,Roxie Releasing,2
772,Earthbound Human Productions,1
773,Xenon,2
774,Séville,1
775,Fuji Television Network,1
776,Lions Gate Film,1
777,The Samuel Goldwyn Company,1
778,Lightning Pictures,3
779,Atlantic Releasing Corporation,2
780,Starmaker Entertainment,3
781,American International Pictures (AIP),2
782,Continental Home Video,1
783,Scott Entertainment,1
784,Dino De Laurentiis Company,1
785,Twentieth Century-Fox Film Corporation,1
786,Cannon Films Inc,1
787,Alliance Atlantis Communications,2
788,ThinkFilm Inc,2
789,A. Film Animation Studio,1
790,United Artists Films,2
791,Independent Distribution Partn,1
792,Regent Entertainment,1
793,Fragmighty,1
794,Entertainment Film Distributor,1
795,Cine Bella,1
796,Chal Productions,1
797,Echo Bridge Home Entertainment,3
798,Troma Films,2
799,Zenith Entertainment,1
800,All Channel Films,3
801,Zfilms Inc,1
802,Rank Organisation,3
803,Rochelle Films,1
804,Medusa Produzione,1
805,Scimitar Films,2
806,Rolling Thunder Pictures,1
807,Melvin Simon Productions,1
808,Burbank Studios,1
809,De Laurentiis Entertainment,1
810,Beacon Pictures,1
811,New Zealand,1
812,RTL,1
813,Footprint Films,1
814,Franchise Pictures,1
815,Fireworks Pictures,1
816,Sony Pictures Classic,1
817,Industry Entertainment,1
818,Acorn Media,4
819,Unapix Entertainment,2
820,ContentFilm,1
821,FM Entertainment,1
822,Westchester Films,5
823,Fine Line,1
824,New Horizons,1
825,Broken Lizard,1
826,Guild,1
827,Strange Attractions,1
828,Cinehaus,1
829,Concorde/New Horizons Home Video,7
830,Goldhil Video,1
831,Madacy Home Video,1
832,Electric Pictures,1
833,NHK,1
834,British Screen,2
835,Concorde Pictures,2
836,Central Productions,1
837,MCEG Virgin Entertainment,1
838,Laurel Entertainment,1
839,20th Century Fox Film Corp.,1
840,Astral Films,3
841,Nepenthe Productions,1
842,Virgo International,1
843,VCI Entertainment,3
844,Cinema International Corporation,1
845,Koch Vision,2
846,U.I.P.,1
847,Cannon Group,7
848,De Laurentiis Entertainment Group,1
849,TAFT Entertainment Pictures,1
850,Rocky Mountain,1
851,IMAX/Walt Disney Pictures,1
852,Filmes Cinematografica,1
853,Leucadia Film Corporation,1
854,Arenas Entertainment,1
855,Catchlight Films,1
856,Indican Pictures,1
857,Keystone Pictures,1
858,Providence Entertainment,1
859,Eclectic DVD Distribution,1
860,Troma Entertainment,1
861,Redbus Film Distribution,1
862,Code Red,1
863,Gold Circle Releasing,1
864,Wellspring Media Inc.,3
865,Cult Video,1
866,Goodman-Rosen Productions,1
867,Vestron Pictures,3
868,Worldvision Home Video,4
869,Gaumont,3
870,Grindstone Media,1
871,Scary Movies LLC,1
872,Carlo Ponti Productions,1
873,Cinematograph,1
874,Film Ventures International (FVI),1
875,Hammer Films,1
876,Faces Distributing Corporation,1
877,Gorilla Pictures,1
878,Mid-America Releasing,1
879,Video Treasures,2
880,Cinema Group,1
881,GT Media,1
882,Storm King Productions,1
883,LolaFilms,1
884,Icon Film Distribution Ltd.,1
885,New City Releasing,1
886,8X Entertainment,1
887,Filmsnoir Motion Pictures,1
888,Innovation Film Group,2
889,Unapix,1
890,Overseas Filmgroup,1
891,Angelika Films,1
892,Fries Home Video,1
893,Vestron Pictures Ltd.,1
894,Motion Picture Marketing,1
895,Island Pictures,2
896,Rockers Film Corporation,1
897,Bryanston Films,1
898,Troma,3
899,Scotia International,1
900,Toho Company Ltd.,1
901,Dynamite Entertainment,1
902,RCA Video,1
903,Levitt-Pickman Film Corporation,1
904,Argent Films,1
905,RCA/Columbia,2
906,Filmkameratene AS,1
907,Cheung Yau Production Co.,1
908,Kagan Company Radio Telegraph,1
909,Intra Films,1
910,Bedford Entertainment,1
911,Avenue Pictures Productions,1
912,Franco London Films,4
913,UGC Distribution,1
914,Parallax Pictures,1
915,Prism Entertainment,2
916,Film Four International,2
917,London Weekend Television,1
918,Mars Distribution,1
919,American Cinema,1
920,Joseph Green Pictures,1
921,Hallmark Releasing Corp.,1
922,Taylor-Laughlin Distribution,2
923,Palm Beach Pictures,1
924,Lion&#39;s Share Pictures,1
925,Dimension Pictures,1
926,S&amp;T-Film Berlin,2
927,Allied Artists,1
928,Rialto Films,1
929,Holmby Pictures,1
930,Compact Video Systems Inc.,1
931,International Coproductions,1
932,Simitar,1
933,Shapiro Glickenhaus Entertainment,1
934,Howco International,1
935,Creswin Distribution,1
936,Malofilm Communications,1
937,Compact Yellowbill,1
938,Island Alive,1
939,Joseph Brenner Associates,1
940,Saiko,1
941,Irwin Yablans Company,1
942,April Fools,1
943,Film Ventures International,1
944,Shaw Brothers,1
945,Cinegate Ltd.,1
946,Elite Entertainment,1
947,J. Arthur Rank Productions,1
948,Independent International Pictures Corp.,1
949,Cinemation,2
950,Ambassador Film Distributors,1
951,Twentieth Century Fox Film Corporation,1
952,Rusconi Film,1
953,A.M.A. Film,1
954,Compagnie Commerciale Française Cinématographique,1
955,Brut Productions,1
956,Private Screenings,1
957,Arista Films,1
958,Robert Halmi Productions,1
959,Norstar Releasing,1
960,Arenafilm,1
961,Full Moon,3
962,Dimension Pictures Inc.,2
963,Cinepix,1
964,Brent Walker,1
965,Independent Film Distributors,1
966,"Charles Band, Ltd.",1
967,MVD Entertainment Group,3
968,New Video Group,4
969,Dugong Films,1
970,Lewis Motion Picture Enterprises,1
971,Europix International,1
972,Amicus Productions,1
973,Sunn Classic Pictures,1
974,Cerito Films,1
975,General Film Corporation,1
976,The American Film Theatre,1
977,Euro International Films,1
978,Progress,1
979,Bing Crosby Productions,1
980,Lira Films,1
981,Action Films,1
982,Filmverlag der Autoren,1
983,E.D. Corporation,1
984,ABS-CBN,1
985,B.E.E.,1
986,Cineplex Odeon / Nelvana,1
987,New Visions,1
988,Monarch Home Video,1
989,Vox Film,1
990,Criterion Pictures Corp.,1
991,Anglo-EMI Productions Ltd.,2
992,Svensk Filmindustri,1
993,Cinerama Releasing Corporation,1
994,Anglo-EMI Film Distributors,1
995,Showking Films,1
996,Jack H. Harris Enterprises,1
997,III Star Releasing,1
998,Picturmedia,1
999,Cinemaster S.r.l.,1
1000,Paragon Home Video,1
1001,Toho Company,1
1002,Kibbee &amp; Hargrove Productions,1
1003,Hanna-Barbera Productions,2
1004,Criterion,1
1005,Mulberry Square Releasing,1
1006,National Geographic,2
1007,Lightsource,1
1008,Netflix,6
1009,Lionsgate Films/Summit Entertainment,1
1010,Big Pictures,1
1011,Eros Entertainment,1
1012,20th Century Fox/Emerging Pictures,1
1013,ATO Pictures,3
1014,The Film District,1
1015,New Line Cinema/Warner Bros. Pictures,1
1016,Rosebud Communications Releasing,1
1017,Inferno Entertainment,1
1018,The Orchard,1
1019,Fever Productions,1
1020,"Quite Nice Pictures, LLC",1
1021,Nickelodeon Movies,1
1022,Lili Claire Communications,1
1023,Vanguard Cinema,1
1024,Tartan Films,1
1025,Magnet/Magnolia Pictures,1
1026,Sherwood Pictures,1
1027,Screenvision,1
1028,Metro-Goldwyn-Mayer Pictures,1
1029,Benaroya Pictures,1
1030,Moving Pictures,1
1031,Speakeasy Releasing,1
1032,Samuel Goldwyn Films/Destination Films,1
1033,Celador Films,1
1034,Magnolia,4
1035,Cineplex-Odeon Films,1
1036,Lightning Entertainment,1
1037,GKIDS,1
1038,Filmgraphics Entertainment,1
1039,Crane Movie Company,1
1040,Aries Films,1
1041,Wolfe Releasing,1
1042,The Jerry Gross Organization,1
1043,Indomina Releasing,1
1044,Well Go,1
1045,Contender,1
1046,Leo Films,1
1047,Octagon Films,1
1048,American Cinemateque,1
1049,Senza Pictures,1
1050,Cannon Pictures,1
1051,GGrindstone Entertainment Group,1
1052,TSG Pictures,1
1053,Halfway House Entertainment,1
1054,905 Corporation,1
1055,Avatar Films,1
1056,41 Inc.,1
1057,Cohiba Pictures,1
1058,Bedford Entertainment Inc.,1
1059,Red Envelope Entertainment,1
1060,Milkshake Films,1
1061,Produzioni Europee Associati,1
1062,Comedy House,1
1063,Argos Films,1
1064,Kino on Video,4
1065,Nordisk Film Biografdistributi,2
1066,Tribecca Film,1
1067,Screen Media,2
1068,Lifesize Entertainment,2
1069,Mainline Pictures Ltd,1
1070,Good Machine,1
1071,Sony Pictures Releasing International,1
1072,Rajshri Media,2
1073,BMG,3
1074,France 2 Cinéma,1
1075,Tomorrow Entertainment,5
1076,Syndctd Entertainment,1
1077,Lions Gate Films Releasing,1
1078,Vestron UK Ltd.,1
1079,American National Enterprises,1
1080,De Laurentiis Entertainment Group (DEG),1
1081,British Columbia Films,1
1082,Zubara Films,1
1083,Hemdale,1
1084,Cine Artists,1
1085,Nora Film Ltd.,1
1086,Access Motion Picture Group,1
1087,Fries Entertainment,1
1088,British Screen Productions,1
1089,Centaur,1
1090,Asian Crush,3
1091,Shochiku Co. Ltd.,1
1092,Shooting Gallery,1
1093,The Film Collaborative,1
1094,Independent Bollywood,1
1095,Behind the Sun Productions,1
1096,American Film Theatre,2
1097,World Northal,1
1098,Continental Films,1
1099,DDM Film Corporation,1
1100,SCHRAMM FILM Koerner &amp; Weber,1
1101,Brian Distributing,1
1102,CFS Releasing,1
1103,Condor Pictures,1
1104,Bacannia Entertainment,1
1105,Effigy Films,1
1106,Paragon Films Inc.,1
1107,J.E.D. Productions,1
1108,Divina-Film,1
1109,Tip Top Entertainment,1
1110,Sara Films,1
1111,Show East,1
1112,Trinacra Films,1
1113,D.A. Films,1
1114,City Records,1
1115,Toei Company,1
1116,Zespol Filmowy,1
1117,Axiom Films,1
1118,Tenafly Film Co.,1
1119,Introverted Films,1
1120,TriStar/FilmDistrict,1
1121,Maverick Entertainment,1
1122,Exhibition On Screen,1
1123,Carnaby International,1
1124,Apparition Films,1
1125,GreyCat Films,1
1126,National Geographic Entertainment,2
1127,Picture House,1
1128,Magnolia Distribution,1
1129,Indomina Films,1
1130,Shop Korn Productions,1
1131,Funny or Die,1
1132,Eone Films,1
1133,VH1 Television,1
1134,The Works Film Group,1
1135,Fuego Films,1
1136,Mosfilm Studios,1
1137,Savoy Pictures,1
1138,Lipsync Productions,2
1139,Excel Entertainmen,1
1140,Elysian Films,1
1141,Peninsula Films,1
1142,Film Foundry Releasing,1
1143,Optimum Releasing,1
1144,Home Box Office,1
1145,Four Square,1
1146,Beaver Productions,1
1147,Indiepix,1
1148,Curzon Film Distributors,1
1149,Independent Films,1
1150,Maelstrom,1
1151,Brightlight Pictures,1
1152,D&amp;E Entertainment,1
1153,HBO Documentary,1
1154,Lemmy Movie,1
1155,Catagory One Films,1
1156,DocComTV,1
1157,Abramorama,1
1158,Sony Picture Classics,1
1159,Powderhouse Productions,1
1160,Kino Lorber Films,1
1161,Werner Herzog Filmproduktion,2
1162,The Cinema Guild,1
1163,Shine Global,1
1164,NCM/ Fathom,1
1165,National Geographic Cinema Ventures,1
1166,Bless Bless Productions,1
1167,Tremelo Productions,1
1168,Third Planet Productions,1
1169,Wellspring,1
1170,Parakletos Productions,1
1171,Channel 4 Television,1
1172,HBO Documentary Films,5
1173,S2BN Films,1
1174,Classic Productions,1
1175,Harbor Productions,1
1176,Concorde Film,1
1177,BBC One,1
1178,ITV,4
1179,SnagFilms,1
1180,Florentine Films,2
1181,Adventure Pictures,1
1182,Creative Differences,1
1183,InterPositive Media,1
1184,International Cinema Corporation,1
1185,Eighty Four Films,1
1186,HBO,9
1187,Peter Jones Productions,1
1188,Docurama,3
1189,Greif Company,1
1190,Odeon Films,1
1191,Cloud South Films,1
1192,World of Wonder,1
1193,Chaise Lounge Productions LLC,1
1194,Turner Classic Movies,1
1195,B-Side Entertainment,1
1196,Automat Pictures,2
1197,Theatrical Experience,1
1198,First Run Entertainment,1
1199,Arthouse Films,3
1200,Lagniappe,1
1201,Anglia Television Ltd,1
1202,Cowboy Booking International,1
1203,First Run Features,9
1204,Seventh Art Productions,1
1205,Panthéon Productions,1
1206,Film Threat,1
1207,The Film Desk,1
1208,WG Film,1
1209,ArtMattan Productions,2
1210,First Look Pictures Releasing,1
1211,Emerging Pictures,2
1212,World of Wonder Productions,1
1213,Dramatic Forces,1
1214,Zeitgeist,1
1215,Globo Filmes,1
1216,Part2 Pictures,1
1217,Shadow Distribution,1
1218,Lorber Films,2
1219,Castle Hill Productions,2
1220,Timeline Films,1
1221,Rocket Fuel Films,1
1222,New Liberty Productions,1
1223,Lorac Productions,2
1224,Charles M Schulz Creative Associates,1
1225,Mantle,1
1226,Independent Film Channel,1
1227,Ubin Twinz Productions,1
1228,Turner Classic Movies (TCM),1
1229,Turner Network Television,1
1230,Frank Capra Productions,1
1231,Four Oaks Foundation,1
1232,Two Lions Productions,1
1233,Newmarket Films LLC,1
1234,NCM/Fathom,1
1235,Surrogate,1
1236,HanWay Films,1
1237,Liberty Studios,1
1238,Kurosawa Production Co.,1
1239,Contender Entertainment Group,1
1240,Samuel Goldwyn Films LLC,1
1241,Nordisk Film Biograf Distribution,1
1242,R.S. Entertainment Inc.,1
1243,Bontonfilm,1
1244,Cinevista,1
1245,Produzioni Europee Association,1
1246,Independant Films,1
1247,Black Sand Productions,1
1248,Oscilloscope,1
1249,Excel Entertainment Group,1
1250,Kino Lorber,1
1251,Inception Media Group,1
1252,Win&#39;s Entertainment Ltd.,1
1253,Hammond Entertainment,1
1254,Worldwide,1
1255,Slowhand Releasing,1
1256,Libra Films International,1
1257,Filmel,1
1258,Cine Manifest,1
1259,PBS Home Video,2
1260,Typecast Releasing,1
1261,Road Movies Filmproduktion,1
1262,The Promise Documentary,1
1263,Kaga Bay,1
1264,RM Associates,1
1265,Level 33 Entertainment,1
1266,Catherine Dussart Productions,1
1267,Cabin Fever Entertainment Inc,1
1268,Mental Slapstick,1
1269,Candlelight Media,1
1270,Hakuhodo DY Media Partners,1
1271,Bible Society,1
1272,Film Corp. of Western Australia,1
1273,Kasander Film Company,1
1274,Two Shoes Productions,1
1275,Guerilla Works LLC,1
1276,Hill-Mandelker Films,1
1277,Muse Entertainment Enterprises,1
1278,Bad Angels Productions,1
1279,Kindle Entertainment,1
1280,Reel World Management,1
1281,ABC Circle Films,3
1282,GWave Productions,2
1283,Sudden Motion Productions,1
1284,Walt Disney Studios Home Entertainment,1
1285,20th Century Fox Television,2
1286,Disney Channel Productions,2
1287,NBC,2
1288,Von Zerneck Sertner Films,1
1289,Close to Home,1
1290,Electric Entertainment,2
1291,Disney-ABC Domestic Television,2
1292,WGBH Boston Video,3
1293,ITV Studios,1
1294,Millbrook Farm Productions,1
1295,Lifetime Television,2
1296,Martin Chase Productions,1
1297,Bachrach/Gottlieb Productions,1
1298,Mandeville Films/TV,1
1299,CBS Television,3
1300,FX Network,1
1301,Just Singer Entertainment,3
1302,Alan Sacks Productions,1
1303,Public Broadcasting Service,1
1304,ABC,3
1305,Robert Shapiro Productions,1
1306,Columbia TriStar Television,2
1307,Karz Entertainment,2
1308,Singer/White Productions,1
1309,Davis Entertainment,2
1310,Fox Television Studios,2
1311,"Disney Enterprises, Inc.",2
1312,Stu Segall Productions,1
1313,Walt Disney Television,1
1314,Rankin-Bass Productions,1
1315,Hearst Entertainment Productions,1
1316,Cairo/Simpson Entertainment,1
1317,NBC Universal Television,1
1318,Spelling-Goldberg Productions,1
1319,Aviator Films,1
1320,CBS,2
1321,Home Box Office (HBO),2
1322,Face Productions,1
1323,Working Title Television,1
1324,PBS,1
1325,It&#39;s a Laugh Productions,1
1326,Bullet Films,1
1327,Eye Film and Television,1
1328,Shadow Cave Pictures,1
1329,Orly Adelson Productions,2
1330,American World Pictures,1
1331,Syfy,1
1332,FUNimation,1
1333,Hallmark Hall of Fame Productions,1
1334,Dick Clark Productions,1
1335,Salty Pictures Inc.,1
1336,Brookwell-McNamara Entertainment,1
1337,Lakeside Productions,1
1338,Transfilm,1
1339,MPI Home Video,2
1340,Good Times,1
1341,J.D. Feigelson,1
1342,Scott Free Productions,1
1343,Tisch-Avnet Productions,1
1344,Blum Israel,1
1345,Di Novi Pictures,1
1346,Disney Channel,2
1347,Turner Entertainment,1
1348,Hearst Entertainment &amp; Syndication,1
1349,Chanticleer Films,1
1350,Turner Network Television (TNT),1
1351,Babylonian Productions,2
1352,Above Average Production Company,1
1353,American Broadcasting Company,2
1354,Greengrass Productions,1
1355,De Passe Entertainment,1
1356,Chestnut Hill,1
1357,Alliance Atlantis Television Productions,1
1358,WGBH Boston,1
1359,Talent Associates,2
1360,Storyline Entertainment,1
1361,British Broadcasting Corporation (BBC),1
1362,Granada Television,2
1363,Great Meadow Productions,1
1364,BBC Films,1
1365,Viacom Productions,1
1366,Cabin Fever Entertainment,1
1367,RAI,1
1368,Societe de Francais Production,1
1369,Tyne Tees Television,1
1370,Lube Productions,1
1371,Marble Arch Productions,1
1372,MR Filmproduktion,1
1373,A&E Television Networks,1
1374,Ixtlan,1
1375,Marian Rees Associates,1
1376,Frank and Bob Films II,1
1377,The Science Channel,1
1378,Tightrope Productions,1
1379,Paramount Television,4
1380,Warner Bros. Television,2
1381,Direct Source Special Products,1
1382,Rankin/Bass Productions,2
1383,Metromedia Producers Corporation,1
1384,Universal TV,4
1385,Community Television of Southern California,1
1386,Gaumont British Picture Co.,1
1387,Fremantle Media,1
1388,Fast Carrier Pictures,1
1389,Citadel Entertainment,1
1390,Cypress Point Productions,1
1391,Konigsberg Company,1
1392,Chotzen/Jenner Productions,1
1393,David L. Wolper Productions,1
1394,Harve Bennett Productions,1
1395,Wolper Productions,1
1396,Telecom Entertainment,1
1397,NRW Film Fund,1
1398,Hawkins/Permut Productions,1
1399,"History Channel, The",1
1400,MTV Original Films For Television,1
1401,MTV Animation,1
1402,Meridian Broadcasting,1
1403,Syzygy Productions,1
1404,Moffitt-Lee Productions,1
1405,Tolin Productions,1
1406,Carlton International Media Group,1
1407,Chum Television,1
1408,Mandy Films,1
1409,Gaylord Productions,1
1410,Telepictures,1
1411,ATV,1
1412,Titus Productions,1
1413,Spectrum Films International,1
1414,Rosemont Productions International,1
1415,Passion River Films,1
1416,Crime and Punishment Productions Ltd.,1
1417,Cookie Jar Entertainment,1
1418,WGBH,2
1419,Channel 4 Television Corporation,1
1420,David Gerber Productions,1
1421,Pathfinder Home Entertainment,1
1422,Finnegan-Pinchuk Productions,1
1423,Chris-Rose Productions,1
1424,EMI TV,1
1425,Good Housekeeping Productions,1
1426,CBS Entertainment (Network),1
1427,Taft Entertainment Television,1
1428,Flextech Television Limited,1
1429,MasterVision,1
1430,The Miles Company,1
1431,Sophisticated Films,1
1432,Disney/Marvel,1
1433,Marvel Studios,3
1434,Space Rocket Nation,1
1435,Groundswell,1
1436,DreamWorks Animation,4
1437,Film4,1
1438,Amazon Studios/Bleecker Street Media,1
1439,Neue Road Movies,1
1440,Gatlin Pictures,1
1441,Eclectic Pictures,1
1442,Blumhouse Productions,1
1443,"Saban Films, Lionsgate",1
1444,Kylin Pictures,1
1445,Saban Films,2
1446,Relativity Europacorp Distribution,1
1447,Relativity Studios,1
1448,Aviron Pictures,1
1449,Summit Entertainment.,1
1450,Broken Road Productions,1
1451,Sony Films,1
1452,Walt Disney Animation Studios,1
1453,Warner Bros. Pictures/Legendary Pictures,1
1454,Simon West Productions,1
1455,STX Entertainment,1
1456,Illumination Entertainment,1
1457,Bad Robot Productions,1
1458,Amazon Studios,1
1459,Summit Premiere,1
1460,Freestyle Releasing LLC.,1
1461,BH Tilt,1
1462,Miramax/Broad Green,1
1463,Studio 71,1
1464,Amazon Studios/Roadside Attractions,1
1465,Paragon Pictures,1
1466,Riverstone Pictures,1
1467,Broad Green Pictures,1
1468,Leverage Management,1
1469,Killer Films,1
1470,Rabbit Bandini Productions,1
1471,Waypoint Entertainment,1
